mac	opzoekdatum	titel_in_gids	type	playlist	uitzending
L	20190627_14	Concertzender Live	nieuw	CZ-Archief	2019-06-27 do14.120
L	20190628_14	Concertzender Live	nieuw	CZ-Live oud_klassiek	2019-06-28 vr14.120
L	20190703_14	Concertzender Actueel	nieuw	CZ-Actueel	2019-07-03 wo14.120
U	20190620_20	De Vorige Eeuw	HiJack 	De Vorige Eeuw (herhaling)	2019-07-01 ma12.060
U	20190620_21	Sonoor	HiJack 	Sonoor (herhaling)	2019-06-28 vr12.060
U	20190623_19	Sensenta	HiJack 	Sensenta (herhaling)	2019-07-02 di22.060
U	20190623_21	X-Rated	HiJack 	X-rated (herhaling)	2019-07-01 ma03.120
U	20190625_19	De wandeling	HiJack 	Wandeling (herhaling)	2019-07-04 do10.060
U	20190625_20	Radio Romantica	HiJack 	Radio Romantica (herhaling)	2019-07-01 ma11.060
U	20190625_21	Tussen droom en daad	HiJack 	Tussen Droom en Daad (herhaling)	2019-06-29 za11.060
U	20170628_20	Thema	herhaling	Thema (herhaling)	2019-07-01 ma17.060
U	20190403_14	Het pianoatelier	herhaling	Het Pianoatelier	2019-06-30 zo10.060
U	20190619_22	Terra Incognita	herhaling	Dr Klangendum	2019-07-01 ma00.060
U	20190619_23	Electronic Frequencies	herhaling	Pakrammel	2019-07-01 ma01.060
U	20190620_16	Componist van de maand	herhaling	Componist vd Maand D_do	2019-06-27 do16.060
U	20190621_16	Componist van de maand	herhaling	Componist vd Maand E_vr	2019-06-28 vr16.060
U	20190621_19	Oriënt Express	herhaling	Oriënt Express (herhaling)	2019-07-02 di23.060
U	20190621_20	El Mundo	herhaling	El Mundo	2019-06-29 za00.060
U	20190621_21	Acoustic Roots	herhaling	Acoustic Roots	2019-07-03 wo02.060
U	20190622_10	Zwerven door de Barok	herhaling	Zwerven (herhaling)	2019-07-02 di12.060
U	20190622_13	Chanson	herhaling	Chanson (herhaling)	2019-06-27 do17.060
U	20190622_16	Tussen Swing en Bop	herhaling	Tussen Swing en Bop	2019-06-27 do18.060
U	20190622_18	Jazz Carrousel	herhaling	Jazz Carrousel	2019-06-28 vr00.060
U	20190622_19	Jazz Piano	herhaling	Jazz Piano (herhaling)	2019-06-28 vr18.060
U	20190622_20	Het Paleis van de Weemoed	herhaling	Paleis vd Weemoed (herhaling)	2019-07-02 di10.060
U	20190622_23	The Art of the Improvisers	herhaling	Art Impro (herhaling)	2019-06-28 vr03.060
U	20190623_12	Radio Monalisa	herhaling	Monalisa (herhaling)	2019-06-28 vr05.060
U	20190623_13	Paul Korenhofs Opera Actueel	herhaling	Opera Actueel (herhaling)	2019-06-30 zo03.060
U	20190623_15	L’Esprit Baroque	herhaling	Esprit Baroque	2019-07-03 wo10.060
U	20190623_16	Documento	herhaling	Serie Savall	2019-07-04 do12.060
U	20190623_17	Bijdetijds	herhaling	Bijdetijds (herhaling)	2019-06-28 vr17.060
U	20190624_13	Geen Dag zonder Bach	herhaling	Geen Dag zonder Bach A_ma	2019-07-01 ma13.060
U	20190624_16	Componist van de maand	herhaling	Componist vd Maand A_ma	2019-07-01 ma16.060
U	20190624_19	Nuove Musiche	herhaling	Nuove Musiche (herhaling)	2019-07-02 di11.060
U	20190624_20	Concertzender Live	herhaling	CZ-Live klassiek (herhaling)	2019-06-30 zo01.120
U	20190624_22	American Highways	herhaling	American Highways (herhaling)	2019-06-28 vr01.060
U	20190624_23	Front Runnin’	herhaling	Front Runnin' (herhaling)	2019-06-29 za21.060
U	20190625_13	Geen Dag zonder Bach	herhaling	Geen Dag zonder Bach B_di	2019-07-02 di13.060
U	20190625_16	Componist van de maand	herhaling	Componist vd Maand B_di	2019-07-02 di16.060
U	20190625_17	Opera in de 20ste eeuw	herhaling	Opera-XX (herhaling)	2019-06-28 vr04.060
U	20190625_18	Missa etcetera	herhaling	Missa Etcetera (herhaling)	2019-06-28 vr06.060
U	20190626_13	Geen Dag zonder Bach	herhaling	Geen Dag zonder Bach C_wo	2019-07-03 wo13.060
U	20190626_16	Componist van de maand	herhaling	Componist vd Maand C_wo	2019-07-03 wo16.060
U	20190626_22	Electronic Frequencies	herhaling	El.Frequencies (herhaling)	2019-07-01 ma02.060
U	20190627_13	Geen Dag zonder Bach	nieuw	Geen Dag zonder Bach D_do	2019-06-27 do13.060
U	20190627_22	Terra Incognita	nieuw	Terra Incognita	2019-06-27 do22.060
U	20190627_23	Pakrammel	nieuw	Pakrammel	2019-06-27 do23.060
U	20190628_13	Geen Dag zonder Bach	nieuw	Geen Dag zonder Bach E_vr	2019-06-28 vr13.060
U	20190628_19	Oriënt Express	nieuw	Oriënt Express	2019-06-28 vr19.060
U	20190628_20	Disc-Cover!	nieuw	Disc-Cover	2019-06-28 vr20.060
U	20190628_21	De Klankbron	nieuw	De Klankbron	2019-06-28 vr21.060
U	20190628_22	Mariama	nieuw	Mariama	2019-06-28 vr22.060
U	20190628_23	Wereldmuziek Club	nieuw	Wereldmuziek Club	2019-06-28 vr23.060
U	20190629_01	De Nacht: Wereld	nieuw	De Nacht - Wereldmuziek	2019-06-29 za01.360
U	20190629_10	Zwerven door de Renaissance	nieuw	Zwerven	2019-06-29 za10.060
U	20190629_12	The Sound of Movies	nieuw	Sound of Movies	2019-06-29 za12.060
U	20190629_13	Chanson	nieuw	Chanson	2019-06-29 za13.060
U	20190629_14	Concertzender Live	nieuw	CZ-Live jazz	2019-06-29 za14.060
U	20190629_15	Three of a Kind	nieuw	Three of a Kind	2019-06-29 za15.060
U	20190629_16	Groove & Grease	nieuw	Groove & Grease	2019-06-29 za16.060
U	20190629_17	Holiday for Hipsters	nieuw	Holiday for Hipsters	2019-06-29 za17.060
U	20190629_18	Latin Jazz	nieuw	Jazz Piano	2019-06-29 za18.060
U	20190629_19	Jazz Piano	nieuw	Latin Jazz	2019-06-29 za19.060
U	20190629_20	Het Paleis van de Weemoed	nieuw	Paleis vd Weemoed	2019-06-29 za20.060
U	20190629_22	JazzNotJazz	nieuw	JazzNotJazz	2019-06-29 za22.060
U	20190630_04	De Nacht: Klassiek	nieuw	De Nacht - Klassiek G_zo	2019-06-30 zo04.180
U	20190630_11	Sound the Trumpet, Strike the Viol!	nieuw	Sound the Trumpet	2019-06-30 zo11.060
U	20190630_12	Radio Monalisa	nieuw	Monalisa	2019-06-30 zo12.060
U	20190630_13	Paul Korenhofs Opera Actueel	nieuw	Opera Actueel	2019-06-30 zo13.060
U	20190630_14	Het Strijkkwartet	nieuw	Strijkkwartet	2019-06-30 zo14.060
U	20190630_18	Vrije Radicalen	nieuw	Vrije Radicalen	2019-06-30 zo18.060
U	20190630_20	Space Exposure	nieuw	Space Exposure	2019-06-30 zo20.060
U	20190630_23	X-Ray	nieuw	X-ray	2019-06-30 zo23.060
U	20190701_05	Framework 1	nieuw	Framework 1	2019-07-01 ma05.060
U	20190701_06	Framework 2	nieuw	Framework 2	2019-07-01 ma06.060
U	20190701_19	Nuove Musiche	nieuw	Nuove Musiche	2019-07-01 ma19.060
U	20190701_20	Concertzender Live	nieuw	CZ-Live hedendaags	2019-07-01 ma20.120
U	20190701_22	De Modernen	nieuw	De Modernen	2019-07-01 ma22.060
U	20190701_23	Front Runnin’	nieuw	Front Runnin'	2019-07-01 ma23.060
U	20190702_01	De Nacht: Klassiek	nieuw	De Nacht - Klassiek B_di	2019-07-02 di01.360
U	20190702_17	Opera in de 20ste eeuw	nieuw	Opera-XX	2019-07-02 di17.060
U	20190702_18	Missa etcetera	nieuw	Missa Etcetera	2019-07-02 di18.060
U	20190703_03	De Nacht: Klassiek	nieuw	De Nacht - Klassiek C_wo	2019-07-03 wo03.240
U	20190703_22	Electronic Frequencies	nieuw	El.Frequencies	2019-07-03 wo22.060
U	20190704_02	De Nacht: Hedendaags	nieuw	De Nacht - Hedendaags	2019-07-04 do02.300
